Adorama_SKU,Price,Stock,Item URL,Review,Number_of_Reviews,Image_URL,UUID
ASKOR37O8GV2,729.99,Not in Stock,https://www.adorama.com/askor37o8gv2.html,0.0,0.0,https://www.adorama.com/images/product/ASKOR37O8GV2.jpg,20e99032-c794-4abf-949a-414518796cc9
AS90YV0GB4,469.99,Not in Stock,https://www.adorama.com/as90yv0gb4.html,0.0,0.0,https://www.adorama.com/images/product/AS90YV0GB4.jpg,af90e27a-d5bf-42aa-b1c0-34924d8ff5f8
AS9YVGC2M0AA,599.99,Not in Stock,https://www.adorama.com/as9yvgc2m0aa.html,0.0,0.0,https://www.adorama.com/images/product/AS9YVGC2M0AA.jpg,1495ede7-1b39-4135-be47-a319175718cb
AS90YV0GWMAA,999.99,Not in Stock,https://www.adorama.com/as90yv0gwmaa.html,0.0,0.0,https://www.adorama.com/images/product/AS90YV0GWMAA.jpg,35712d9b-61a0-43c4-b281-a09cf3ab6d3c
ASRX3080O10G,1299.99,Not in Stock,https://www.adorama.com/asrx3080o10g.html,4.7,18.0,https://www.adorama.com/images/product/ASRX3080O10G.jpg,7b7ab666-8307-4a9b-bf6d-d1d49ef8dae7
ASTRIX3080TI,1999.99,Not in Stock,https://www.adorama.com/astrix3080ti.html,0.0,0.0,https://www.adorama.com/images/product/ASTRIX3080TI.jpg,5bd8fcc6-a2cf-42ec-af41-7225b51b7f9c
ASRX3090O24G,2229.99,Not in Stock,https://www.adorama.com/asrx3090o24g.html,5.0,5.0,https://www.adorama.com/images/product/ASRX3090O24G.jpg,dbd45899-3bba-4aa1-a662-6be093519065
AS90YVG81MAA,849.99,Not in Stock,https://www.adorama.com/as90yvg81maa.html,0.0,0.0,https://www.adorama.com/images/product/AS90YVG81MAA.jpg,f355083a-c6da-408d-9d9f-3b0c0bdd857d
ASTR3070O8G,749.99,Not in Stock,https://www.adorama.com/astr3070o8g.html,5.0,7.0,https://www.adorama.com/images/product/ASTR3070O8G.jpg,d57254a4-c2b5-4b63-b5d3-cb54e9c20170
AS90YV0GYMAA,999.99,Not in Stock,https://www.adorama.com/as90yv0gymaa.html,5.0,1.0,https://www.adorama.com/images/product/AS90YV0GYMAA.jpg,b4d5ea5f-4a8c-4d42-830e-4c4b9da976a7
ASTR3080O10G,1049.99,Not in Stock,https://www.adorama.com/astr3080o10g.html,0.0,0.0,https://www.adorama.com/images/product/ASTR3080O10G.jpg,c4021a77-2a84-4d2c-95cb-039021858503
AS90YV0GU1,1899.99,Not in Stock,https://www.adorama.com/as90yv0gu1.html,0.0,0.0,https://www.adorama.com/images/product/AS90YV0GU1.jpg,d6f7ff6a-290c-4ebd-9b2a-2ac6aa6d1942
ASRTX3080V2,1049.99,Not in Stock,https://www.adorama.com/asrtx3080v2.html,0.0,0.0,https://www.adorama.com/images/product/ASRTX3080V2.jpg,1e6c0443-56a6-45b2-aa0a-44d7caa0f32e
AST3090O24G,2129.99,Not in Stock,https://www.adorama.com/ast3090o24g.html,0.0,0.0,https://www.adorama.com/images/product/AST3090O24G.jpg,023db2b7-2ed4-4d33-9c9b-9801003a2bb3
